stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
James MacArthur,1957-1979,MacArthur,James,M,1937,199x,R:lead,\Am,,"Ch(Charles MacArthur, Helen Hayes)",
Ralph Macchio,,,,M,[1],199x,RU:,\Un,[4.784],,,
Simon MacCorkindale,1978-1983,MacCorkindale,Simon,M,1952,199x,R:lead,\Br,,,
J.Farrell MacDonald,1931-1951,MacDonald,J.Farrell,M,1875,1952,R:character,\Am,,,
Jeanette MacDonald,1929-1932,MacDonald,Jeanette,F,,199x,R:sweet,\Am,[4.768],St(MGM),
Andie MacDowell,,,,,[1],199x,RU:,\Un,,
Niall MacGinnis,1935-1969,MacGinnis,Niall,M,1913,199x,RU:,\Ir,[4.738],,,
Jack MacGowran,1952-1973,MacGowran,Jack,M,1916,1973,"R:mean, sharp-featured",\Ir,,,
Ali MacGraw,1968-1983,MacGraw,Alice,F,1938,199x,R:lead,\Am,,,
Marlena MacGuire,,,,F,[1],199x,RU:,\Un,[4.30],,,
Stephen Macht,1976-1978,Macht,Stephen,M,,,R:heavy-featured,\Am,,,
Helen Mack,1924-1945,Mack,Helen,F,1913,199x,R:lead,\Am,,,
Kerry Mack,,,,M,[1],199x,RU:,\Un,,
Marion Mack,,,,F,[1],199x,RU:,\Un,,
Dorothy Mackaill,1921-1937,Mackaill,Dorothy,F,1903,199x,R:lead,\Br,,,
Barry Mackay,1934-1955,Mackay,Barry,M,1906,199x,R:lead,\Br,,,
Fulton Mackay,1983,Mackay,Fulton,M,,1987\UN,RU:,\Ct,,,
Janet MacLachian,,,,F,[1],199x,RU:,\Un,,
Kyle MacLachlan,,,,M,[1],199x,R:boyish,,,Lw(Linda Evangelista; supermodel),
Sandy Mackendrick,,Mackendrick,Alexander,M,1912,199x,RU:,\Am,,"Mainly(D,W)",
Kenneth MacKenna,,Mielziner,Leo,M,1899,1962,R:general purpose,\Am,,,
Shirley MacLaine,1956,Beaty,Shirley MacLaine,F,1934,199x,R:impish dancer,\Am,[4.10],Ww(Hitchcock) Si(Waren Beatty ?) Aw(AA lifertime 1998),
