H1,Always Tell Your Wife,1922,Se.Hicks,Lasky,"SFamous, S*",sbw,Dram,aw,lc,CoD(Hitchcock),
H2,Number Thirteen,1922,Hitchcock,Hitchcock,"SIslington, SFamous",sbw,,,,Nt(unfinished),
H3,Woman to Woman,1922,Hitchcock,Balcon,"SB-S-F, SWardour",sbw,Dram,,England,"CoD(Cutts) Er(same as GCt27, 1926?)",
H4,The Passionate Adventure,1924,Hitchcock,Balcon,"SGainsborough, SGaumontD",sbw,,,,CoD(Cutts),
H5,The Blackguard,1925,Hitchcock,Balcon,"SUFA, SWardour",sbw,,,,CoD(Cutts),
H8,The Mountain Eagle,1926,Hitchcock,Balcon,"SGainsborough, Emelka, SWardour",sbw,Dram,H,,Nt(no prints left) Nt(Released 1927) W(Eliot Stannard) C(Baron Ventimiglia) Alt(Fear O'God; USA),
H10,Downhill,1927,Hitchcock,Balcon,"SIslington; Gainsborough, SWardour",sbw,Susp,,,"W(Eliot Stannard) W(Ivor Novello, Constance Collier) C(Baron Ventimiglia) Er(W))",
H11,Easy Virtue,1927,Hitchcock,Balcon,"SGainsborough, SWardour",sbw,Susp,,,B(Noel Coward) W(Eliot Stannard) C(Claude McDonnell),
H13,The Farmer's Wife,1928,Hitchcock,J.Maxwell,"SBIP Elstree, SWardour",sbw,Susp,,,B(Eden Philpotts) W(Hitchcock) C(J.Cox),
H14,Champagne,1928,Hitchcock,J.Maxwell,"SBIP Elstree, SWardour",sbw,Romt,,,W(Eliot Stannard) B(Walter Mycroft) C(J.Cox),
H16,The Manxman,1929,Hitchcock,J.Maxwell,"SBIP Elstree, SWardour",sbw,Susp,H,"csd, Scotland",B(Hall Caine) W(Eliot Stannard) C(J.Cox),
H17,Blackmail,1929,Hitchcock,J.Maxwell,"SBIP Elstree, SWardour",bnw,Susp,,"British Museum, London, England","Nt(first sound, added) W(Hitchcock, Benn W. Levy, Charles Bennett) C(J.Cox) Seen(9Apr1990)",
H18,Elstree Calling,1929,none,PN:,SBIP Elstree,bnw,Musc,,studio,"CoD(Brunel(supervisor), Hitchcock, Andre Charlot, Jack Hulbert, Paul Murray) W(Ivor Novello)",
H19,Juno And The Paycock,1930,Hitchcock,J.Maxwell,"SBIP Elstree, SWardour",bnw,Susp,H*,"Dublin, Ireland","B(Sean O'Casey) W(Hitchcock, Alma Reville) C(J.Cox)",
