Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Aaron,D,PAa,@1979,Aaron,Paul,[1],,USA,,
Abel,DPW,JeA,@1971,Abel,Jeanne,,,USA,Ww(Alan Abel),
Abbott,AWDP,GgA,@1929-1958,Abbott,George,1887,,USA,,
Abrahams,WD,xAb,@1948,Abrahams,,[1],,USA,"Er(fn [16,4,1])",
J.Abrahams,WD,JiA,@1980-1988,Abrahams,Jim,,,USA,,
Jeffrey~Abrams,W,,@1991-1992,Abrams,Jeffrey,1967,,USA,,
Abramson,D,NAb,@1998,Abramson,Neil,,,,,
Abduladze,D,TAb,@1977,Abduladze,Tengiz,,,Russia,Or(Georgian),
Abramson,D,NAb,@1998,Abramson,Nel,,,,,
Ackerman,D,RAA,@1994,Ackerman,Robert Allan,19xx,,,,
Acub,D,NAA,@1957,Acub,Nya' Abbas,,,Indonesia,,
Ken~Adam,V,,1947-1993,Adam,Ken,1921,,Germany,,
Adamson,DP,AlA,@1969-1983,Adamson,Al,[1],,USA,Mt(Regina Carrol),
Addis,D,JuA,@1955-1957,Addis,Justus,[1],,,Ww(Hitchcock; TV),
Adler,D,GAe,@1996,Adler,Gilber,,,,Er(Gilber),
C.Adler,D,CAd,@1998,Adler,Carine,,,Great Britain,Ge(F),
Adlon,D,PAd,@1981-1994,Adlon,Percy,[1],,
Adolfi,AD,IGA,@1915-1933,Adolfi,John G.,1888,1933,USA,Ww(George Arless: A),
Adomenaite,D,NyA,@1991,Adomenaite,Niyole,19xx,,Russia,Gd(F),
Afredson,D,DAf,@1993,Afredson,Daniel,19xx,,Sweden,
Aguirre,D,MoA,@1991,Aguirre,Monte,19xx,,,Ty(Docu),
Fred~Ahern,P,,,Ahern,Fred,[1],,Great Britain,Ww(Hitchcock),
Akerman,D,CAm,@1969-1993,Akerman,Chantal,19xx,,Belgium,,
Akkad,D,MAk,@1976,Akkad,Mustapha,[1],,,,
Alardice,W,,,Allardice,James,,,USA,Ww(Hitchcock 1955-1965) Ty(counterpoint introduction),
Alda,AWD,AAl,@1979-1986,Alda,Alan,1936,,USA,,
Aldrich,DP,RoA,@1953-1981,Aldrich,Robert,1918,1983,USA,Nt(P for his films after 1962),
Alea,D,TGA,@1964-1968,Alea,Tomas Gutierrez,1927,1996,Cuba,Mt(Mirta Ibarra),
Alessandrini,D,GoA,@1942,Alessandrini,Goffredo,[1],,Italy,,
Alexander,WPD,JAx,@1992,Alexander,Jourdon,19xx,,,Ty(Porn),
Alexandrov,D,GAv,@1934,Alexandrov,Grigori,19xx,19xx,Russia,Ty(Musc),
Algar,D,JAl,@1954,Algar,James,19xx,,USA,Ty(Docu),
Aliwalas,WDA,FcA,@1997,Aliwalas,Francisco,1965,199x,Phillipines,,
Algrant,WD,DAl,@1994,Algrant,Dan,19xx,,,,
M.Allegret,D,MAl,@1931-1963,Allegret,Marc,1900,1973,France,,
Y.Allegret,D,YAl,@1941-1963,Allegret,Yves,1907,,France,,
C.Allen,ADW,CoA,@1977-1978,Allen,Corey,1934,,USA,,
F.Allen,D,FAl,@1940,Allen,Fred,[1],,USA,St(RKO) Ty(West) Er(dow),
I.Allen,WPD,InA,@1955-1974,Allan,Irwin,1916,1991,USA,"Ty(instructional, fantasy, disaster)",
L.Allen,D,LAl,@1944-1963,Allan,Lewis,1905,,Great Britain,,
T.Allen,WD,TAl,@1990,Allan,Ted,[1],,USA,,
Woody~Allen,WDAP,WA,@1969-1991,Konigsberg,Allen Stewart,1935,,USA,,
Allers,D,RgA,@1994,Allers,Roger,19xx,,,,
Almendros,C,,@1965,Almendros,Nestor,1931,1992,Spain,"Nt(lived in France, U.S.,Cuba) Also(CoD)",
Almond,DW,PlA,@1959-1968,Almond,Paul,,,Canada,"Ww(Hitchcock, TV)",
Almodovar,DA,PAl,@1980-1994,Almodovar,Pedro,1951,,Spain,,
