
Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Naderi,D,AiN,@1984,Naderi,Amir,19xx,19yy,Iran,,
Nair,D,MNa,@1989-1997,Nair,Mira,,\Un,India,Ge(F),
Nakahara,D,SNa,@1991,Nakahara,Shun,,\Un,Japan,,
Nakajima,WD,TNa,@1993,Nakajima,Takeo,,\Un,Japan,,
Napier,D,xNa,@1992,Napier,gn,19xx,\Un,,,
Napoleon,WD,AN,@1958,Napoleon,Art,,\Un,USA,,
Naruse,D,MiN,,Naruse,Mikio,[1],\Un,Japan,,
Narizzano,D,SNz,@1966,Narizzano,Silivo,,\Un,,,
Naud,DP,WTN,@1965-1966,Naud,William T.,19xx,\Un,,,
Neame,CWD,RoN,@1947-1971,Neame,Ronald,1911,\Un,Great Britain,,
Nava,WD,GrN,@1997,Nava,Gregory,,199x,\Un,,
Neckering,WD,AmN,@1990,Neckering,Amy,[1],\Un,USA,Gd(F),
H.Needham,D,HNe,@1977,Needham,Hal,,\Un,USA,,
Negrin,D,ANe,@1992,Negrin,Alberto,,\Un,,,
Negulesco,D,JN,@1944-1955,Negulesco,Jean,1900,\Un,Romania,,
Neilan,DA,MaN,@1916-1937,Neilan,Marshall,1891,1958,USA,,
J.Neill,D,,1915,Neill,James,,,,Ww(DeMille),
R.W.Neill,D,RWN,@1917-1946,deGostric,Roy William (Roland),1890,1946,Ireland,Ty(Sherlock Holmes),
Neilson,D,JNs,@1956-1963,Neilson,James,,\Un,USA,Ww(Hitchcock),
Nelson,WD,TBN,@1997,Nelson,Tim Blake,19xx,199x,USA,,
G.Nelson,D,GNs,@1980,Nelson,Gary,,\Un,USA,,
Gn.Nelson,AD,GnN,@1961,Nelson,Gene,,\Un,USA,,
J.Nelson,D,JkN,@1927,Nelson,Jack,,\Un,USA,,
R.Nelson,D,RNe,@1962-1976,Nelson,Ralph,1962,1987,USA,,
Nemec,D,JNe,@1966-1989,Nemec,Jan,19bb,\Un,Czechoslovakia,Mt(Marta Kubishova; singer),
K.Neumann,DPW,KuN,@1932-1958,Neumann,Kurt,1908,1958,Greece,,
S.Neumann,D,StN,@1991,Neumann,Stan,,\Un,,,
Newell,D,MNe,@1980-1994,Newell,Mike,1943,\Un,Great Britain,,
Newfield,D,SNe,@1944,Newfield,Sam,,\Un,,,
Newland,D,INw,@1959-1970,Newland,John,,\Un,USA,"Ww(Hitchcock, TV) Nt(Early TV)",
A.Newman,M,,1937-1955,Newman,Alfred,,\Un,USA,,
J.Newman,DP,JNm,@1931-1963,Newman,Joseph M.,1909,\Un,USA,"Ww(Hitchcock, TV)",
P.Newman,ADPW,PNe,@1968-1987,Newman,Paul,,\Un,USA,,
Newmeyer,D,FNm,@1922,Newmeyer,Fred,19xx,\Un,USA,Ww(Sam~Taylor),
Nga,AD,TTN,@1993,Nga,Tiana Thi Thanh,19xx,\Un,Vietnam,
Ngabo,D,LNg,@1992,Ngabo,L'eonce,19xx,\Un,,,
Niblo,DA,FrN,@1918-1941,Nobile,Frederico (Fred),1874,1948,USA,Ty(silent),
Niccol,D,ANi,@1997,Niccol,Andrew,19xx,199x,,,
Nichetti,WAD,MzN,@1987-1993,Nichetti,Maurizio,,\Un,Italy,,
Nickman,PECD,JnN,@1990,Nickman,Jan C.,,\Un,,,
Nicholls,ED,,GNj,@1934,Nicholls~jr,George,,\Un,,,
C.Nichols,D,CAN,@1972,Nichols,Charles A.,,\Un,,,
D.Nichols,WD,DuN,@1946-1947,Nichols,Dudley,1895,1960,USA,,
M.Nichols,D,MN,@1966-1997,Peschkowsky,Michael Igor,1931,\Un,Germany,,
A.Nicholson,D,ArN,@1981,Nicholson,Arch,,\Un,USA,,
J.Nicholson,AWD,JNi,@1977-1990,Nicholson,Jack,,\Un,USA,,
Nicolella,D,INi,@1997,Nicolella,John,19xx,199x,,,
Lennie~Niehaus,M,,1985-1995,Niehaus,Lennie,19xx,\Un,,,
Nigh,D,WlN,@1938,Nigh,William,,\Un,,,
Nilsson,D,RNi,@1985,Nilsson,Rob,[1],\Un,USA,,
Nimoy,AD,LeN,@1984-1988,Nimoy,Leonard,1931,\Un,USA,,
NixonBrowne,D,(JNB),,Nixon-Browne,Jack,,\Un,USA,Ty(porn),
Nolan,WD,CNo,@1999,Nolan,Christopher,,\Un,,,
Ch.Noonan,D,ChN,@1995,Noonan,Chris,,199x,Australia,,
Ty.Noonan,APWD,TyN,@1964,Noon,Thomas (Tommy),1921,1968,USA,,
T.Noonan,AD,ToN,@1994,Noonan,Tom,,,USA,,
Norman,D,LNm,@1954,Norman,Leslie,,\Un,Great Britain,,
Norris,D,ANo,@1993,Norris,Aaron,19xx,\Un,,,
M.Norman,(D),MNm,@1915,Norman,Mabel,,\Un,USA,,
Norrington,D,SNo,@1998,Norrington,Stephen,,\Un,,,
Norton,D,BWN,@1979,Norton,B.W.L.,"[1,6]",\Un,,,
N.Nosseck,D,MNo,@1945,Nosseck,Max,,\Un,USA,,
N.Nosseck,DP,NNo,@1937-1991,Nosseck,Noel,,\Un,USA,Er(1937 Max /1975),
Nossiter,D,JNo,@1997,Nossiter,Jonathan,,199x,\Un,,
Nougmanov,D,RNo,@1988,Nougmanov,Rachid,19xx,\Un,Russia (Khazakstan),,
Novaro,D,MNv,@1992,Novaro,Maria,19xx,\Un,Mexico,,
Noyce,D,PhN,@1989-1997,Noyce,Phillip,,\Un,,,
Nube,D,CDN,@1991,Nube,Chris D.,,\Un,,Er(name),
Nuchtern,D,SiN,@1983,Nuchtern,Simon,,\Un,USA,,
Nugent,APWD,ElN,@1932-1951,Nugent,Elliot,1899,1980,USA,,
Frank~Nugent,W,,1949-1963,Nugent,Frank S.,,,USA,Ww(J.Ford),
Nunez,D,VNu,@1987-1997,N\~unez,Victor,,\Un,,,
Nunn,D,TNu,@1975-1986,Nunn,Trevor,[1],\Un,,,
Nutley,D,CNu,@1993,Nutley,Colin,19xx,\Un,Great Britain,,
Nuytten,CD,BNu,@1989,Nuytten,Bruno,,\Un,France,Lw(Isabelle Adjani),
