Ref_n,codes,Did,yrs,lsat_n,first_n,dob,dod,bkgd,nts,
Yagher,D,KvY,@1963,Yagher,Kevin,,,,Er(Fn),
Yamada,D,YYa,@1968-1990,Yamada,Yoji,[1],,Japan,Ty(Tora-san) Ww(Kiyoshi Atsumi; A) Er(fn:Jiji),
Yamamoto,D,,,Yamamoto,Kajiro,,,Japan,Inf(Kurosawa),
Yanagimachi,D,MYa,@1990,Yanagimachi,Mitsuo,,,Japan,Inb(Bresson),
Yanchuk,D,OYa,@1993,Yanchuk,Oles,,,Russia,,
Yang,D,EdY,@1991,Yang,Edward,,,Taiwan,,
Yanne,D,xYa,@1985,Yanne,gn,,,,,
Yansen,D,LYa,@1990,Yansan,Louis,,,,,
Yarborough,D,JeY,@1945,Yarborough,Jean,,,USA,,
Yates,DP,PY,@1962-1995,Yates,Peter,1929,,Great Britain,,
Yeaworthy,D,IvY,@1958,Yeaworthy,Irvin S.,,,,,
Yeh,D,HWY,@1992,Yeh,Hung-Wei,,,China,,
Yellen,D,LiY,1985,Yellen,Linda,,,USA,Ty(TV),
Yeller,D,,18xx,Yeller,xfn,,,USA,Nt(first dir?),
Yonfan,D,nYo,@1998,name,xfn,,,China,,
Bud~Yorkin,D,BdY,@1963-1970,Yorkin,Alan,1926,,USA,,
Yosha,D,YaY,@1990,Yosha,Yaky,,,,,
Y.Yoshida,D,YYo,@1986,Yoshida,Yoshishigue,,,Japan,,
K.Yoshida,D,KYo,@1987,Yoshida,Kaoru,[1],,Japan,,
Freddie~Young,C,,1952-1962,Young,Frederick A.,,,USA,,
H.Young,D,HY,@1934-1944,Young,Harold,1897,,Great Britain,,
R.Young,D,RYo,@1984-1895,Young,Roger,,,USA,,
Rbt.Young,D,RtY,@1972,Young,Robert,,,,,
R.M.Young,D,RMY,@1977,Young,Robert M.\,,,USA,,
T.Young,D,TYg,@1948-1980,Young,Terence,1915,,Great Britain,,
Yule,D,PYu,@1993,Yule,Paul,,,Great Britain,Ty(TV),
