Zaillian,WD,StZ,@1993,Zaillian,Steven,19xx,\Un,\Ct,,
Zaggario,D,VZg,@1983,Zaggario,Vito,19xx,\Un,\Ct,,
Zaks,D,JZa,@1996,Zaks,Jerry,,199x,\Un,,
Zampa,WD,LZa,@1946-1954,Zampa,Luigi,1905,1991,\It,Ty(neorealist),
Zampi,D,MZa,@1958-1961,Zampi,Mario,1903,1963,\It,Ty(Comd),
Zanussi,D,KZs,@1985,Zanussi,Krystof,,\Un,\Po,,
D.F.Zanuck,P,,1935-1960,Zanuck,Daryl F.,1902,1979,\Am,Fd(20th-Century) St(Fox),
L.F.Zanuck,PD,LFZ,@1991,Zanuck,Lili Fini,,\Un,\Am,Gd(F) Mt(R.Zanuck),
R.Zanuck,P,,1957-1980,Zanuck,Richard D.,1934,\Un,\Am,Nt(Stanford '56) St(Fox) Ch(Zanuck) ER(mi: E.),
Zarindast,D,ToZ,@1978-1982,Zarindast,Tony M.,[1],\Un,
Zefferelli,D,FZe1,@1966-1996,Zefferelli,Franco,,,\It,,
Zeilinger,WD,JmZ,@1990,Zeilinger,Jimmy,,\Un,\Ct,Er(D 19xx),
Zemeckis,DW,RZe,@1981-1994,Zemeckis,Robert,[1],\Un,,
Zetterling,DW,MZ,@1964,Zetterling,Mai,,,,Er(Also(A)),
YM.Zhang,CD,YMZ,@1980-1992,Zhang,Yi Mou,1950,\Un,\Ch,Lw(Gong Li),
Y.Zhang,D,YZh,@1990-1998,Zuang,Yuan,19xx,\Un,\Ch,Ty(radical),
Zhou,D,XWZ,@1997,Zhou,XioaWen,,\Un,\Ct,,
Zhuangzhuang,D,TZz,@1994,Zhuangzhuang,Tian,19xx,\Un,\Ch,"Alias(Zhang Yuan, ?)",
Zidi,D,ClZ,@1989,Zidi,Claude,19xx,\Un,\Ct,,
Ziegfeld,PA,,1929-1932,Ziegfeld,Florenz,1867,1932,\Am,,
Ziegler,P,,1993-1994,Ziegler,Renate,19xx,\Un,\Ge,,
Zieff,D,HoZ,@1975-1994,Zieff,Howard,,,\Am,,
Ziem,P,(HZi),1974,Ziem,Howard,,\Un,\Am,,
Zimbalist,P,,1951,Zimbalist,Sam,19xx,\Un,\Am,St(MGM),
Zimmerman,D,VeZ,@1980,Zimmerman,Vernon,,\Un,\Am,,
Zincone,D,BZi,@1988,Zincone,Bruno,,\Un,\Ct,,
Zinneman,D,FZ,@1947-1982,Zinneman,Fred,1907,1997,\Os,Or(\Zw),
Zito,D,JZi,@1984,Zito,Joseph,,\Un,\Am,,
Zonca,D,EZo,@1999,Zonca,Erick,1955,\Un,\Fr,,
D.Zondag,D,DZo,@1993,Dick Zondag,Dick,19xx,\Un,\Ct,,
Zlotoff,D,DLZ,@1996,Zlotoff,Lee David,,199x,\Un,,
Zsigmond,C,,1972-1994,Zsigmond,Vilmos,,\Un,\Ct,,
J.Zucker,WD,JZu,@1990,Zucker,Jerry,,\Un,\Am,Er(D.Zucker),
D.Zucker,WPD,DZu,@1991,Zucker,David,,\Un,\Am,,
Zuckor,PD,AZ,@1913-,Zuckor,Adolph,1873,1976,\Am,Fd(Famous Players),
Zugsmith,PD,AlZ,@1960,Zugsmith,Albert,19xx,\Un,\Am,,
Zulawski,D,AZu,@1985-1990,Zulawski,Andrzaj,,\Un,\Po,Er(dow),
Zwick,D,EZw,@1989-1994,Zwick,Edward,,\Un,\Am,,
