
Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Naderi,D,AiN,@1984,Naderi,Amir,19xx,19yy,\Ir anion,,
Nair,D,MNa,@1989-1997,Nair,Mira,,\Un,\In dian,Ge(F),
Nakahara,D,SNa,@1991,Nakahara,Shun,,\Un,\Ja,,
Nakajima,WD,TNa,@1993,Nakajima,Takeo,,\Un,\Ja,,
Napier,D,xNa,@1992,Napier,gn,19xx,\Un,\Ct,,
Napoleon,WD,AN,@1958,Napoleon,Art,,\Un,\Am,,
Naruse,D,MiN,,Naruse,Mikio,[1],\Un,\Ja,,
Narizzano,D,SNz,@1966,Narizzano,Silivo,,\Un,,,
Naud,DP,WTN,@1965-1966,Naud,William T.,19xx,\Un,\Ct,,
Neame,CWD,RoN,@1947-1971,Neame,Ronald,1911,\Un,\Br,,
Nava,WD,GrN,@1997,Nava,Gregory,,199x,\Un,,
Neckering,WD,AmN,@1990,Neckering,Amy,[1],\Un,\Am,Gd(F),
H.Needham,D,HNe,@1977,Needham,Hal,,\Un,\Am,,
Negrin,D,ANe,@1992,Negrin,Alberto,,\Un,\Ct,,
Negulesco,D,JN,@1944-1955,Negulesco,Jean,1900,\Un,\Rm,,
Neilan,DA,MaN,@1916-1937,Neilan,Marshall,1891,1958,\Am,,
J.Neill,D,,1915,Neill,James,,,,Ww(DeMille),
R.W.Neill,D,RWN,@1917-1946,deGostric,Roy William (Roland),1890,1946,\Ir,Ty(Sherlock Holmes),
Neilson,D,JNs,@1956-1963,Neilson,James,,\Un,\Am,Ww(Hitchcock),
Nelson,WD,TBN,@1997,Nelson,Tim Blake,19xx,199x,\Am,,
G.Nelson,D,GNs,@1980,Nelson,Gary,,\Un,\Am,,
Gn.Nelson,AD,GnN,@1961,Nelson,Gene,,\Un,\Am,,
J.Nelson,D,JkN,@1927,Nelson,Jack,,\Un,\Am,,
R.Nelson,D,RNe,@1962-1976,Nelson,Ralph,1962,1987,\Am,,
Nemec,D,JNe,@1966-1989,Nemec,Jan,19bb,\Un,\Cz,Mt(Marta Kubishova; singer),
K.Neumann,DPW,KuN,@1932-1958,Neumann,Kurt,1908,1958,\Gr,,
S.Neumann,D,StN,@1991,Neumann,Stan,,\Un,\Ct,,
Newell,D,MNe,@1980-1994,Newell,Mike,1943,\Un,\Br,,
Newfield,D,SNe,@1944,Newfield,Sam,,\Un,\Ct,,
Newland,D,INw,@1959-1970,Newland,John,,\Un,\Am,"Ww(Hitchcock, TV) Nt(Early TV)",
A.Newman,M,,1937-1955,Newman,Alfred,,\Un,\Am,,
J.Newman,DP,JNm,@1931-1963,Newman,Joseph M.,1909,\Un,\Am,"Ww(Hitchcock, TV)",
P.Newman,ADPW,PNe,@1968-1987,Newman,Paul,,\Un,\Am,,
Newmeyer,D,FNm,@1922,Newmeyer,Fred,19xx,\Un,\Am,Ww(Sam~Taylor),
Nga,AD,TTN,@1993,Nga,Tiana Thi Thanh,19xx,\Un,\Vi etnamese,,
Ngabo,D,LNg,@1992,Ngabo,L\'eonce,19xx,\Un,\Ct,,
Niblo,DA,FrN,@1918-1941,Nobile,Frederico (Fred),1874,1948,\Am,Ty(silent),
Niccol,D,ANi,@1997,Niccol,Andrew,19xx,199x,\Ct,,
Nichetti,WAD,MzN,@1987-1993,Nichetti,Maurizio,,\Un,\It,,
Nickman,PECD,JnN,@1990,Nickman,Jan C.,,\Un,\Ct,,
Nicholls,ED,,GNj,@1934,Nicholls~jr,George,,\Un,\Ct,,
C.Nichols,D,CAN,@1972,Nichols,Charles A.,,\Un,\Ct,,
D.Nichols,WD,DuN,@1946-1947,Nichols,Dudley,1895,1960,\Am,,
M.Nichols,D,MN,@1966-1997,Peschkowsky,Michael Igor,1931,\Un,\Ge,,
A.Nicholson,D,ArN,@1981,Nicholson,Arch,,\Un,\Am,,
J.Nicholson,AWD,JNi,@1977-1990,Nicholson,Jack,,\Un,\Am,,
Nicolella,D,INi,@1997,Nicolella,John,19xx,199x,\Ct,,
Lennie~Niehaus,M,,1985-1995,Niehaus,Lennie,19xx,\Un,\Ct,,
Nigh,D,WlN,@1938,Nigh,William,,\Un,\Ct,,
Nilsson,D,RNi,@1985,Nilsson,Rob,[1],\Un,\Am,,
Nimoy,AD,LeN,@1984-1988,Nimoy,Leonard,1931,\Un,\Am,,
NixonBrowne,D,(JNB),,Nixon-Browne,Jack,,\Un,\Am,Ty(porn),
Nolan,WD,CNo,@1999,Nolan,Christopher,,\Un,\Ct,,
Ch.Noonan,D,ChN,@1995,Noonan,Chris,,199x,\Au,,
Ty.Noonan,APWD,TyN,@1964,Noon,Thomas (Tommy),1921,1968,\Am,,
T.Noonan,AD,ToN,@1994,Noonan,Tom,,,\Am,,
Norman,D,LNm,@1954,Norman,Leslie,,\Un,\Br,,
Norris,D,ANo,@1993,Norris,Aaron,19xx,\Un,\Ct,,
M.Norman,(D),MNm,@1915,Norman,Mabel,,\Un,\Am,,
Norrington,D,SNo,@1998,Norrington,Stephen,,\Un,\Ct,,
Norton,D,BWN,@1979,Norton,B.W.L.,"[1,6]",\Un,,,
N.Nosseck,D,MNo,@1945,Nosseck,Max,,\Un,\Am,,
