Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Pabst,D,GP,@1923-1956,Wilhelm,George,1885,1967,\Ge,,
Pachard,D,HPa,@1982,Pachard,Henri,,199x,\Un,Ty(Porn),
Pacino,AD,AlP,@1987,Pacino,Al,1939,\Un,\Am,Mainly(A),
Padovan,D,APv,@1911,Padovan,Adolfo,19xx,\Un,\It,,
A.Page,D,AnP,@1968-1994,Page,Anthony,1935,\Un,\Br,,
Pagnol,WD,MPa,@1934-1955,Pagnol,Marcel,1894,1974,\Fr,,
Pakula,D,AJP,@1976-1993,Pakula,Alan J.,,1998,\Am,,
Pal,PD,GPl,@1960,Pal,George,,\Un,\Am,,
Palcy,D,EPy,@1984,Palcy,Euzhan,[1],\Un,,Er(dow),
Palekar,D,APl,@1990,Palekar,Arnol,19xx,\Un,\In dia,,
Palermi,D,,1923-1926,Palermi,Amleto,19xx,\Un,\It,Ww(Gallone),
Palmer,D,ToP,@1984,Palmer,Tony,[1],\Un,\Br,Er(lost name and film entry),
Paltrow,PD,BrP,@1982,Paltrow,Bruce,,\Un,\Am,Pa(Gwyneth Paltrow),
Panama,WPD,NPa,@1955-1977,Panama,Norman,1914,\Un,\Am,Ww(M. Frank),
Papastathis,D,LPs,@1987,Papastathis,Lakis,19xx,\Un,\Gr,,
Papatakis,D,NPk,@1967-1986,Papatakis,Nikos,19xx,\Un,\Gr,,
Parajanov,D,SgP,@1990,Parajanov,Sergei,19xx,\Un,\Ru (Armenian),,
Parent,D,JPt,@1935,Parent,James,,199x,\Un,Er(dow),
Paris,D,JrP,@1968,Paris,Jerry,,\Un,\Am,,
Parisot,D,DPs,@1996,Parisot,Dean,,\Un,\Ct,,
Park,D,NiP,@1991,Park,Nick,19xx,\Un,\GB,Ty(Cart),
Albert~Parker,D,AlP,@1918-1936,Parker,Albert,,\Un,\Ct,,
A.Parker,WD,APa,@1973-1990,Parker,Alan,1944,\Un,\Br,,
D.Parker,D,DPa,@1992,Parker,David,,\Un,\Au,,
J.Parker,PWD,IPa,@1955,Parker,John,,\Un,\Au,,
T.Parker,WDA,TPa,@1998,Parker,Trey,,\Un,\Am,,
Parks,D,GPk,@1971,Parks,Gordon,,\Un,\Am,,
Parrish,D,RPa,@1951-1971,Parrish,Robert,,\Un,\Am,,
Parrott,D,JPa,@1930-1835,Parrott,James,1892,1939,\Am,"Ty(Comd) Ww(Oliver and Hardy, Charlie Chase, Max Davidson: A)",
Parry,APD,GoP,@1948-1960,Parry,Gordon,1908,1981,\Br,,
C.Pascal,D,CPc,@1991,Pascal,Christine,,,\Ct,Gd(F),
G.Pascal,PD,GPa,@1940-1945,Pascal,Gabriel,1894,1954,\Hu,,
Pasolini,WD,PaP,@1961-1975,Pasolini,Pier Paolo,1922,1975,\It,,
Pasquin,D,IPq,@1997,Pasquin,John,,199x,\Un,,
Passer,D,IvP,@1964-1992,Passer,Ivan,1933,\Un,\Cz,,
Pathe,PD,CPa,@1902,Path\'e,Charles,1863,1978,\Fr,Fd(Path\'e Fr\`eres),
Patzak,D,PPz,@1989,Patzak,Peter,19xx,\Un,\Os,,
Stv.Paul,DPW,SvP,@1980,Paul,Steven,,\Un,\Am,,
Stf.Paul,D,SfP,@1980,Paul,Stefan,,\Un,\Ge,,
Payne,D,AxP,@1997,Payne,Alexander,19xx,19yy,\Am,,
Pearce,D,RPe,@1981-1992,Pearce,Richard,[1],\Un,,,
Peckinpah,DAW,SaP,@1961-1983,Peckinpah,Sam,1926,\Un,\Am,Ty(tough westerns),
Peerce,D,LPe,@1969-1981,Peerce,Larry,,\Un,\Am,,
Pelissie,D,JMP,@1973,Pellissie,Jean-Marie,,\Un,\Ct,,
Pellington,D,MPl,@1997,Pellington,Mark,19xx,199x,\Ct,,
A.Penn,D,ArP,@1958-1981,Penn,Arthur,1922,\Un,\Am,,
L.Penn,D,LeP,@1964,Penn,Leo,,\Un,\Am,Ww(Hitchcock; TV) Ty(TV) Pa(Sean Penn; A),
S.Penn,AWD,SeP,@1991,Penn,Sean,,\Un,\Am,,
Pennebaker,D,DAP,@1993,Pennebaker,D.A.,19xx,\Un,\Ct,,
PenningtonRichards,D,CPR,@1968,Pennington-Richards,C.,19xx,\Un,\Ct,,
