stage_name,family_birth_name,given_first_name,gender,role_type,start_year,end_year,birth_year,death_year,birth_country,,,,,,
Willie Aames,Aames,William,M,,,,1960,,USA,,,,,,
Bud Abbott,Abbott,William,M,straight comedian,1939,1956,1895,1974,USA,,,,,,
Diahnne Abbott,,,F,sexy,1976,1982,,,USA,,,,,,
George Abbott,Abbott,George,M,playwright, producer,1928,,1887,,USA,,,,,
John Abbott,Abbott,John,M,staring eyes, eccentric parts,1937,,1905,,Great Britain,,,,,
Philip Abbott,Abbott,Philip,M,second lead,1957,1973,1923,,USA,,,,,,
Kareem AbdulJabbar,,,M,basketball player,,,,,USA,,,,,,
Walter Abel,Abel,Walter,M,harrassed hero,1935,1974,1898,1987,USA,,,,,,
F.Murray Abraham,,,M,,1983,,,,,,,,,,
James Abrahams,,,M,,,,,,,,,,,,
Maury Abram,,,,,,,,,,,,,,,
Victoria Abril,,,F,sexy,1985,1990,,,Portugal,,,,,,
Joss Ackland,Ackland,Joss,M,larger-than-life personality,1949,1979,1928,,Great Britain,,,,,,
Dan Ackroyd,Ackroyd,Dan,M,comic,1979,1990,,,USA,,,,,,
David Ackroyd,,,M,,,,1940,,USA,,,,,,
Peter Ackroyd,,,M,,,,,,,,,,,,
Rodolfo Acosta,Acosta,Rodolfo,M,cold-eyed,1948,1967,1920,1974,Mexico,,,,,,
Eddie Acuff,Acuff,Eddie,M,supporting comedian,1935,1947,1902,1956,USA,,,,,,
Jean Adair,Adair,Jean,F,sweet aunt,1922,1947,1872,1956,USA,,,,,,
Alfred Adam,Adam,Alfred,M,weak, villainous,1935,,1909,1982,France,,,,,
Ronald Adam,Adam,Ronald,M,well-bred, stuffy professional,1938,,1896,1979,Great Britain,,,,,
John Adames,,,M,,,,,,,,,,,,
Beverly Adams,Adams,Beverly,F,lead,1963,1967,1945,,Canada,,,,,,
Brooke Adams,Adams,Brooke,F,laid-back,1977,1983,1949,,USA,,,,,,
Catlin Adams,Barab,Catlin,,,,,1950,,USA,,,,,,
Dorothy Adams,Adams,Dorothy,F,timorous sullen,1938,1976,1915,,USA,,,,,,
Edie Adams,Enke,Elizabeth Edith,F,pert comedienne,1960,1979,1929,,USA,,,,,,
Jane Adams,Adams,Jane,F,,1945,1949,1921,,USA,,,,,,
Jill Adams,Adams,Julia,F,pert light lead,1954,1966,1931,,Great Britain,,,,,,
Julie Adams,Adams,Betty May (Julia),F,soft,1947,1981,1926,,USA,,,,,,
Maud Adams,Wikstrom,Maude,F,lead,1952,1967,1950,,Sweden,,,,,,
Nick Adams,Adamschock,Nicholas,M,neurotic aggressive lead,1952,1967,1931,1968,USA,,,,,,
Robert Adams,Adams,Robert,M,black,1935,1947,1906,,Guyana,,,,,,
Sam Adams,,,M,comic,,,,,,,,,,,
Tome Adams,Adams,Tome,M,burly,1963,1975,1938,,Great Britain,,,,,,
Dawn Addams,Addams,Dawn,F,smart, glamorous,1951,,1930,1985,Great Britain,,,,,
Wesley Addy,Addy,Wesley,M,humourless, sinister,1951,,1912,1997,USA,,,,,
