"movie_id",,"stage_name","role_type","role_description","role_name"
"AA13","Pygmalion","Leslie Howard","scientist","smug professor","Higgins"
"AA13","Pygmalion","Wendy Hiller","innocent","flower girl","Eliza"
"AA13","Pygmalion","Wilfrid Lawson","sidekick","Eliza's father","Dolittle"
"AA13","Pygmalion","Scott Sunderland",,"betting Colonel","Pickering"
"AA13","Pygmalion","Marie Lohr",,,"Mrs.Higgins"
"AA13","Pygmalion","Iris Hoey",,,
"AA13","Pygmalion","David Tree",,"fop","Freddie Eynsford-Hill"
"AA13","Pygmalion","Esme Percy",,,
"AA13","Pygmalion","Everley Gregg",,,
"AA13","Pygmalion","O.B. Clarence",,,
"AA13","Pygmalion","Jean Cadell",,,
"AA14","French Without Tears","Ray Milland",,"schoolboy",
"AA14","French Without Tears","Ellen Drew",,"teacher",
"AA14","French Without Tears","Guy Middleton",,"schoolboy",
"AA14","French Without Tears","Ronald Culver",,"schoolboy",
"AA16","Quiet Wedding","Margaret Lockwood",,"bride",
"AA16","Quiet Wedding","Derek Farr",,"bridegroom",
"AA16","Quiet Wedding","A.E. Matthews",,,
"AA16","Quiet Wedding","Marjorie Fielding",,"mother",
"AA16","Quiet Wedding","Athene Seyler",,,
"AA16","Quiet Wedding","Peggy Ashcroft",,,
"AA16","Quiet Wedding","Margaretta Scott",,,
"AA16","Quiet Wedding","Bernard Miles",,,
"AA29","The Importance of Being Earnest","Michael Redgrave",,"bachelor","Earnest"
"AA29","The Importance of Being Earnest","Michael Denison",,"bachelor",
"AA29","The Importance of Being Earnest","Edith Evans",,"rich daughter",
"AA29","The Importance of Being Earnest","Margaret Rurtherford",,,
"AA29","The Importance of Being Earnest","Joan Greenwood",,,
"AA29","The Importance of Being Earnest","Miles Malleson",,,
"AA29","The Importance of Being Earnest","Doroty Tutin",,,
"AA29","The Importance of Being Earnest","Walter Hudd",,,
"AA37","Libel","Dirk Bogarde",,,
"AA37","Libel","Olivia deHavilland",,,
"AA37","Libel","Paul Massie",,,
"AA37","Libel","Wilfrid Hyde White",,,
"AA37","Libel","Robert Morley",,,
"AA37","Libel","Anthony Dawson",,,
"AA37","Libel","Richard Wattis",,,
"AA37","Libel","Martin Miller",,,
