"movie_id","studio_id"
"H1","Famous"
"H2","Islington"
"H3","B-S-F"
"H4","Gainsborough"
"H5","UFA"
"H8","Gainsborough"
"H10","Islington; Gainsborough"
"H11","Gainsborough"
"H13","BIP Elstree"
"H14","BIP Elstree"
"H16","BIP Elstree"
"H17","BIP Elstree"
"H18","SBIP Elstree"
"H19","BIP Elstree"
"H22","BIP Elstree"
"H23","BIP Elstree"
"H24","BIP Elstree"
"H25","Lime Grove"
"H28","Gaumont Lime Grove"
"H30","Lime Grove and Pinewood"
"H32","Elstree"
"H33","elznick"
"H34","SU.A."
"H36","SRKO"
"H37","Universal"
"H39","SFox"
"H42","elznick"
"H43","SRKO"
"H44","elznick"
"H46","Transatlantic"
"H50","SWarners"
"H51","Paramount"
"H52","Paramount"
"H57","Paramount"
"H61","SWarners"
"H65","Paramount"
"H79","Universal"
"H80","Universal"
"H81","Universal"
"H82","Universal"
"H83","SPinewood"
"H40","SElstree"
"H41","SElstree"
"H55","hamley"
"H58","hamley"
"H59","hamley"
"H60","hamley"
"H63","hamley"
"H66","hamley"
"H67","hamley"
"H68","hamley"
"H70","hamley"
"H72","hamley"
"H74","hamley"
"H75","hamley"
"H76","hamley"
"H77","hamley"
"H78","hamley"
"WKD10","PN:Thomas A. Edison"
"ALu1","SLumiere"
"ALu2","SLumiere"
"ALu3","SLumiere"
"ALu4","SLumiere"
"ALu5","SLumiere"
"ALu6","SLumiere"
"ALu7","SLumiere"
"ALu30","SLumiere"
"ESP10","SEdison"
"ESP11","SEdison"
"ESP12","SEdison"
"ESP16","SEdison"
"ESP17","SEdison"
"ESP25","SFamous"
"ESP26","SFamous"
"ESP27","SFamous"
"ESP30","SFamous"
"ESP31","SFamous"
"ESP32","SFamous"
"ESP33","SFamous"
"ESP34","SFamous"
"ESP40","SFamous"
"GMs2","SL:\Fr"
"GMs4","SL:\Fr"
"GMs6","SL:\Fr"
"GMs8","SL:\Fr"
"GMs12","SL:\Fr"
"GMs20","SL:\Fr"
"WHa1","SU:"
"WHa8","SU:"
"WMc10","SBiograph"
"ThE10","SEdison"
"JaC1","SU:"
"JaC7","SU:"
"JaC10","SU:"
"JaC12","SU:"
"JaC15","SU:"
"JaC20","SU:"
"JaC23","SU:"
"JaC25","SU:"
"JaC33","SU:"
"JaC40","SU:"
"GKS60","SEssanay"
"LMi1","SL:Italy"
"LMi23","SAmbrosio"
"LMi35","SAmbrosio"
"Z0210","SL:USA"
"Z0220","Lang(\It)"
"Z0230","SL:\GB"
"Z0240","SL:USA"
"Z0250","SL:\It"
"Z0260","SU:"
"Z0270","SU:"
"Z0280","SU:"
"EiC10","SGaumont"
"GdL10","SSaffiComerio"
"MCs2","SAmbrosio"
"MCs10","SArtistica Gloria"
"GlS10","SFilm d'Arte Italia"
"ISB10","SVitagraph"
"ThB10","SU:"
"ThB30","SU:"
"ThB50","SU:"
"ThB55","SBIP"
"ThB70","SU:"
"ThB80","SU:"
"UgF10","SFilm d'Arte Italiana"
"UgF12","Film d'Arte Italiana"
"APv10","SMilano Films"
"APv11","SMilano Films"
"LcP15","SU:"
"OrM10","SItala"
"ThI10","SBison"
"ThI20","SU:"
"ThI40","STriangle"
"ThI60","SU:"
"ThI65","SQuality Amusememt Inc."
"WmH10","SU:"
"ADw5","SAMF"
"ADw6","SAMF"
"ADw17","SU:"
"ADw22","SU.A."
"ADw27","Paramount"
"ADw41","SFox"
"ADw60","SU:"
"ADw70","SRKO"
"ADw72","SRKO"
"ADw75","SRKO"
"ADw80","SRKO"
"AEG25","Paramount"
"AEG37","SU:"
"AEG39","SWarners"
"AEG41","SWarners"
"AEG50","SU:"
"JCw16","SU:"
"JCw44","SU:"
"JCw47","SU:"
"JCw50","SMGM"
"JCw51","SU:"
"JCw57","SMGM"
"JCw61","SMGM"
"JCw62","SMGM"
"JCw63","SU:"
"JCw64","SU:"
"JCw65","SU:"
"JCw68","SU:"
"JCw69","SU:"
"JCw70","SU:"
"JCw73","SU:"
"JCw75","SU:"
"MaT10","SU:"
"MaT27","SU:"
"MaT40","SU:"
"LoW3","SCrystal"
"LoW5","Universal"
"LoW5","Universal"
"LoW10","Universal"
"LoW11","Universal"
"LoW20","Universal"
"LoW21","Universal"
"ME40","SU:"
"ME60","SU:"
"MEl130","SU:"
"MEl150","SU:"
"ME180","SU:"
"ME200","SU:"
"ME240","SAdmiral"
"ME270","SU:"
"ME300","SU:"
"MSe10","SKeystone"
"MSe18","SKeystone"
"MSt10","SU:"
"MSt20","SU:"
"MSt30","SSvensk Film Industri"
"MSt40","SU:"
"MSt50","SL:USA"
"MSt55","SU:"
"MSt60","SU:"
"VSj1","SSvenska Biografteaten"
"VSj3","SU:"
"VSj5","SU:"
"VSj7","SMGM"
"ElR10","SAmbrosio"
"NOx10","SSavoia"
"NOx20","SCines"
"AcG10","SAquila"
"BuG10","SEdison"
"CDM0","PN:Lasky"
"CDM1","SFeature Play"
"CDM3","SFeature Play"
"CDM5","SFeature Play"
"CDM7","SFeature Play"
"CDM10","SU:"
"CDM11","SU:"
"CDM12","SU:"
"CDM13","SU:"
"CDM15","SU:"
"CDM16","SU:"
"CDM17","SFeature Play"
"CDM18","SFeature Play"
"CDM32","SU:"
"CDM44","SMGM"
"CDM45","SU:"
"CDM52","SU:"
"CDM54","SU:"
"CDM55","SMGM"
"CDM59","Paramount"
"CDM60","SU:"
"CDM64","Paramount"
"CDM68","SU:"
"CDM70","Paramount"
"CDM73","Paramount"
"CDM77","Paramount"
"CDM80","Paramount"
"GBS10","SU:"
"GBS20","SU:"
"GBS30","SU:"
"GBS40","SU:"
