movie_id,title,year,genre,color_process,location,notes
H1,Always Tell Your Wife,1922,drama,silent,,CoD(Hitchcock)
H2,Number Thirteen,1922,,silent,,Nt(unfinished)
H3,Woman to Woman,1922,drama,silent,England,"CoD(Cut) Er(same as GCt27, 1926)"
H4,The Passionate Adventure,1924,,silent,,CoD(Cut)
H5,The Blackguard,1925,,silent,,CoD(Cut)
H8,The Mountain Eagle,1926,drama,silent,,Nt(no prin left) Nt(Released 1927) W(Eliot Stannard) C(Baron Ventimiglia) Alt(Fear O'God; USA)
H10,Downhill,1927,thriller,silent,,"W(Eliot Stannard) W(Ivor Novello, Constance colorlier) C(Baron Ventimiglia) Er(W))"
H11,Easy Virtue,1927,thriller,silent,,B(Noel Coward) W(Eliot Stannard) C(Claude McDonnell)
H13,The Farmer's Wife,1928,thriller,silent,,B(Eden Philpot) W(Hitchcock) C(J.Cox)
H14,Champagne,1928,romantic,silent,,W(Eliot Stannard) B(Walter Mycroft) C(J.Cox)
H16,The Manxman,1929,thriller,silent,"csd, Scotland",B(Hall Caine) W(Eliot Stannard) C(J.Cox)
H17,Blackmail,1929,thriller,black-and-white,"British Museum, London, England","Nt(first sound, added) W(Hitchcock, Benn W. Levy, Charles Bennett) C(J.Cox) Seen(9Apr1990)"
H18,Elstree Calling,1929,musical,black-and-white,studio,"CoD(Brunel(supervisor), Hitchcock, Andre Charlot, Jack Hulbert, Paul Murray) W(Ivor Novello)"
H19,Juno And The Paycock,1930,thriller,black-and-white,"Dublin, Ireland","B(Sean O'Casey) W(Hitchcock, Alma Reville) C(J.Cox)"
H22,Rich and Strange,1932,thriller,black-and-white,"London, England; Pars, France; Marseille, France; Singapore; ship, Pacific","W(Alma Reville, Val Valentine) B(Dale colorlins) C(J.Cox, Charles Martin) Er(C) Seen(16Apr1990) Alt(East of Shanghai; USA)"
H23,Number Seventeen,1932,mystery,black-and-white,"London, England; train, England; Dover, England","B(Jefferson Farejon) W(Jefferson Farejon, Rodney Auckland) C(J.Cox) Seen(16Apr1990) Er(W)"
H24,Lord Camber's Ladies,1932,thriller,black-and-white,"castle, England","W(Hitchcock,,Jefferson Farejon) B(H.A. Vachell: The Case of Lady Camber) CoD(Benn~Levy)"
H25,Waltzes From Vienna,1933,"romantic, comedy",black-and-white,"Vienna, Austria","Nt(least favorite of Hitchcock) M{Johann Strauss~sr., Johann Strauss~jr. W(Alma Reveille, Bolton) Alt(Strauss's Great Waltz; USA)"
H28,Secret Agent,1936,thriller,black-and-white,"London, England; chocolate factory, Switzerland","B(S.Maugham: Ashenden) W(Charles Bennett, Campbell Dixon) C(Bernard Knowles) Er(W)"
H30,Young and Innocent,1938,thriller,black-and-white,,"B(Josephine Tey) C(Bernard Knowles) W(Charles Bennett, Alma Reveille) Alt(The Girl Was Young; USA)"
H32,Jamaica Inn,1939,drama,black-and-white,"seashore, Cornwall, England","C(Bernard Knowles, Harry Stradling) Er(C)"
H33,Rebecca,1940,drama,black-and-white,"castle, England","C(George~Barnes; AA) W(Robert E. Sherwood, J.Harrison; AAN) B(Daphne duMaurier) M(Waxman; AAN) Seen(1989) VT(N:HT5) V(Lyle~Wheeler)"
H34,Foreign Correspondent,1940,thriller,black-and-white,"London, England; flying boat, Atlantic; T(1940)","W(Charles Bennett, J.Harrison, James Hilton, Robert Benchley; AAN) B(Vincent Sheehan: `Personal History') C(Mate; AAN) Seen(3Jan1991) VT(N:HT1)"
H36,thrillericion,1941,thriller,"black-and-white, color","mansion, England",C(Harry Stradling) B(Francis Iles) Prof(440K)
H37,Saboteur,1942,thriller,black-and-white,"national monumen, WY; statue of liberty, NY",Seen(20Sep1989) C(Valentine) VT(N:HT2)
H39,Lifeboat,1943,thriller,black-and-white,sea,"B(John Steinbeck; AAN) W(John Steinbeck, Jo Swerling) C(Glen MacWilliams; AAN) Seen(18Sep1989) VT(N:HT4)"
H42,Spellbound,1945,thriller,black-and-white,"mental hospital, Vermont","M(Rozsa; AA) C(George~Barnes; AAN) W(Hecht) V(Salvador Dali) B(Francis Beeding: ``The House of Dr.Edwardees'')) Seen(3Dec1989), 15May90"
H43,Notorious,1946,thriller,black-and-white,"RioDe Janeiro, Brazil","W(Ben Hecht; AAN) C(Tetzlaff) M(Roy Webb) Seen(20Jan1990, 30Jun1997)"
