movie_id,award_id
H1,aw
H2,
H3,
H4,
H5,
H8,H
H10,
H11,
H13,
H14,
H16,H
H17,
H18,
H19,H*
H22,
H23,H*
H24,
H25,H
H28,
H30,
H32,W50
H33,"AA, AAN dir, H****"
H34,"H****, AAN"
H36,
H37,H***
H39,"H**, AAN dir"
H42,"H**, AAN, AAN dir"
H43,H***
H44,H**
H46,
H50,H**
H51,"H***, AAN dir"
H52,aw
H57,H*
H61,
H65,H**
H79,H***
H80,
H81,H**
H82,H*
H83,H*
H40,
H41,
H55,
H58,
H59,
H60,
H63,
H66,
H67,
H68,
H70,
H72,
H74,
H75,
H76,
H77,
H78,
WKD10,Docu
ALu1,
ALu2,
ALu3,
ALu4,
ALu5,
ALu6,
ALu7,
ALu30,
ESP10,
ESP11,
ESP12,H***
ESP16,
ESP17,
ESP25,
ESP26,
ESP27,
ESP30,
ESP31,
ESP32,
ESP33,
ESP34,
ESP40,
GMs2,
GMs4,
GMs6,
GMs8,
GMs12,
GMs20,
WHa1,
WHa8,
WMc10,aw
ThE10,
JaC1,
JaC7,aw
JaC10,aw
JaC12,aw
JaC15,aw
JaC20,aw
JaC23,aw
JaC25,aw
JaC33,aw
JaC40,aw
GKS60,
LMi1,
LMi23,
LMi35,
Z0210,aw
Z0220,aw
Z0230,aw
Z0240,aw
Z0250,aw
Z0260,aw
Z0270,aw
Z0280,aw
EiC10,aw
GdL10,aw
MCs2,aw
MCs10,aw
GlS10,aw
ISB10,aw
ThB10,aw
ThB30,aw
ThB50,aw
ThB55,Dram
ThB70,
ThB80,aw
UgF10,aw
UgF12,aw
APv10,aw
APv11,aw
LcP15,aw
OrM10,aw
ThI10,
ThI20,H-
ThI40,H***
ThI60,H-
ThI65,
WmH10,aw
ADw5,
ADw6,
ADw17,H**
ADw22,
ADw27,
ADw41,H*
ADw60,aw
ADw70,H
ADw72,
ADw75,
ADw80,
AEG25,
AEG37,
AEG39,H*
AEG41,H*
AEG50,
JCw16,aw
JCw44,aw
JCw47,aw
JCw50,H
JCw51,aw
JCw57,aw
JCw61,"H**, AAN, [47]"
JCw62,"F77,H**, AAN"
JCw63,aw
JCw64,aw
JCw65,aw
JCw68,aw
JCw69,aw
JCw70,aw
JCw73,aw
JCw75,aw
MaT10,aw
MaT27,aw
MaT40,
LoW3,
LoW5,
LoW5,
LoW10,
LoW11,
LoW20,
LoW21,
ME40,aw
ME60,
MEl130,aw
MEl150,aw
ME180,
ME200,aw
ME240,H
ME270,aw
ME300,aw
MSe10,aw
MSe18,aw
MSt10,aw
MSt20,aw
MSt30,H*
MSt40,
MSt50,
MSt55,
MSt60,aw
VSj1,aw
VSj3,aw
VSj5,aw
VSj7,H*
ElR10,aw
NOx10,aw
NOx20,aw
AcG10,aw
BuG10,aw
CDM0,Musc
CDM1,aw
CDM3,aw
CDM5,aw
CDM7,aw
CDM10,aw
CDM11,aw
CDM12,aw
CDM13,aw
CDM15,
CDM16,
CDM17,
CDM18,aw
CDM32,aw
CDM44,aw
CDM45,
CDM52,
CDM54,
CDM55,aw
CDM59,"AAN,H**"
CDM60,aw
CDM64,
CDM68,-H
CDM70,H**
CDM73,H**
CDM77,H
CDM80,"AAN, H*"
GBS10,aw
GBS20,aw
GBS30,aw
GBS40,aw
GBS42,aw
GBS90,aw
GBS93,H
GBS95,H
GBS96,H
GBS97,H
GBS100,H
GBS102,H
GBS103,H
GBS110,H
GBS115,aw
GBS120,aw
GBS130,H
GBS132,H
GBS140,H-
GBS144,H
GBS145,H
GBS150,H
BHd10,aw
DGP1,aw
HBn5,aw
HBn8,aw
HBn10,aw
HBn12,aw
HBn21,aw
HBn25,aw
HHS3,
HHS8,
HHS9,
HHS12,
HHS13,
HHS14,
HHS15,
HHS16,
HHS22,
HHS24,
HHS26,
HHS28,
HHS36,
HHS38,
HHS48,
HHS50,
PW1,aw
PW2,aw
PW3,aw
PW4,aw
Z4215,aw
Z4220,aw
Z4222,aw
Z4225,aw
AK1,aw
AK40,
AK45,aw
AK50,
