Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Aaron,D,PAa,1979,Aaron,Paul,,,USA,,
Abel,DPW,JeA,1971,Abel,Jeanne,,,USA,Ww(Alan Abel),
Abbott,AWDP,GgA,1929-1958,Abbott,George,1887,,USA,,
Abrahams,WD,xAb,1948,Abrahams,,,,USA,"Er(fn [16,4,1])",
J.Abrahams,WD,JiA,1980-1988,Abrahams,Jim,,,USA,,
Jeffrey~Abrams,W,,1991-1992,Abrams,Jeffrey,1967,,USA,,
Abramson,D,NAb,1998,Abramson,Neil,,,,,
Abduladze,D,TAb,1977,Abduladze,Tengiz,,,Russia,Or(Georgian),
Abramson,D,NAb,1998,Abramson,Nel,,,,,
Ackerman,D,RAA,1994,Ackerman,Robert Allan,,,,,
Acub,D,NAA,1957,Acub,Nya' Abbas,,,Indonesia,,
Ken~Adam,V,,1947-1993,Adam,Ken,1921,,Germany,,
Adamson,DP,AlA,1969-1983,Adamson,Al,,,USA,Mt(Regina Carrol),
Addis,D,JuA,1955-1957,Addis,Justus,,,,Ww(Hitchcock; TV),
Adler,D,GAe,1996,Adler,Gilber,,,,Er(Gilber),
C.Adler,D,CAd,1998,Adler,Carine,,,Great Britain,Ge(F),
Adlon,D,PAd,1981-1994,Adlon,Percy,,,
Adolfi,AD,IGA,1915-1933,Adolfi,John G.,1888,1933,USA,Ww(George Arless: A),
Adomenaite,D,NyA,1991,Adomenaite,Niyole,,,Russia,Gd(F),
Afredson,D,DAf,1993,Afredson,Daniel,,,Sweden,
Aguirre,D,MoA,1991,Aguirre,Monte,,,,Ty(Docu),
Ahern,P,,,Ahern,Fred,,,Great Britain,Ww(Hitchcock),
Akerman,D,CAm,1969-1993,Akerman,Chantal,,,Belgium,,
Akkad,D,MAk,1976,Akkad,Mustapha,,,,,
Alardice,W,,,Allardice,James,,,USA,Ww(Hitchcock 1955-1965) Ty(counterpoint introduction),
Alda,AWD,AAl,1979-1986,Alda,Alan,1936,,USA,,
Aldrich,DP,RoA,1953-1981,Aldrich,Robert,1918,1983,USA,Nt(P for his films after 1962),
Alea,D,TGA,1964-1968,Alea,Tomas Gutierrez,1927,1996,Cuba,Mt(Mirta Ibarra),
Alessandrini,D,GoA,1942,Alessandrini,Goffredo,,,Italy,,
Alexander,WPD,JAx,1992,Alexander,Jourdon,,,,Ty(Porn),
Alexandrov,D,GAv,1934,Alexandrov,Grigori,,,Russia,Ty(Musc),
Algar,D,JAl,1954,Algar,James,,,USA,Ty(Docu),
Aliwalas,WDA,FcA,1997,Aliwalas,Francisco,1965,,Phillipines,,
Algrant,WD,DAl,1994,Algrant,Dan,,,,,
M.Allegret,D,MAl,1931-1963,Allegret,Marc,1900,1973,France,,
Y.Allegret,D,YAl,1941-1963,Allegret,Yves,1907,,France,,
C.Allen,ADW,CoA,1977-1978,Allen,Corey,1934,,USA,,
F.Allen,D,FAl,1940,Allen,Fred,,,USA,St(RKO) Ty(West) Er(dow),
I.Allen,WPD,InA,1955-1974,Allan,Irwin,1916,1991,USA,"Ty(instructional, fantasy, disaster)",
L.Allen,D,LAl,1944-1963,Allan,Lewis,1905,,Great Britain,,
T.Allen,WD,TAl,1990,Allan,Ted,,,USA,,
Woody~Allen,WDAP,WA,1969-1991,Konigsberg,Allen Stewart,1935,,USA,,
Allers,D,RgA,1994,Allers,Roger,,,,,
Almendros,C,,1965,Almendros,Nestor,1931,1992,Spain,"Nt(lived in France, U.S.,Cuba) Also(CoD)",
Almond,DW,PlA,1959-1968,Almond,Paul,,,Canada,"Ww(Hitchcock, TV)",
Almodovar,DA,PAl,1980-1994,Almodovar,Pedro,1951,,Spain,,
Altman,DWP,RAl,1955-1982,Altman,Robert,1922,,USA,Ww(Hitchcock),
Amadio,D,SiA,1960,Amadio,Silvio,,,Italy,,
Amaral,D,SuA,1985,Amaral,Suzana,,,Great Britain,Gd(F),
Amelio,D,GnA,1993-1996,Amelio,Gianni,,,Italy,,
Amenabar,D,AAm,1999,Amenabar,Alejandro,,19yy,Spain,,
Amurri,WD,FAm,1989-1994,Amurri,Franco,,,Italy,,
Amiel,PD,JoA,1990-1993,Amiel,Jon,,,,,
Anders,D,AAn,1992-1194,Anders,Allison,,,,,
Andersen,D,ToA,1974,Andersen,Thom,,,USA,Ty(Docu),
B.Anderson,D,BdA,1996,Anderson,Brad,,,USA,Er(yr),
K.Anderson,D,KuA,1991,Anderson,Kurt,,,,Er(yr),
Lr.Anderson,D,LrA,1991,Anderson,Laurie,,,,,
L.Anderson,DA,LiA,1953-1987,Anderson,Lindsay,1923,1994,Great Britain,Also(critic),
M.Anderson,D,MiA,1950-1982,Anderson,Michael,1920,,Great Britain,,
P.Anderson,WD,PTA,1997,Anderson,Paul Thomas,,,USA,Ty(porn),
S.Anderson,D,SvA,1992,Anderson,Steve,,,USA,,
W.Anderson,D,WeA,1996,Anderson,Wes,,,USA,,
deAndrade,D,JPd,1962-1969,de b,Joaquim Pedro,,,Brazil,Ty(Cinema Novo),
G.Andre,D,,1911,Andre,Henri,,,France,,
Andre,D,RAn,19dd,Andre,Raoul,1916,1992,France,,
Angel,D,MxA,1975,Angel,Mikel,,,,,
Angelidi,D,AAg,1985,Angelidi,Antoinetta,,,Greece,,
Angelo,DW,YvA,1995,Angelo,Yves,,,France,,
Angelopoulos,D,TAn,1970-1998,Angelopoulos,Theo,1935,,Greece,,
Angelou,D,MaA,1998,Angelou,Maya,1928,,USA,,
Annakin,D,KeA,1946-1982,Annakin,Ken,1914,,Great Britain,,
Annaud,D,JJA,1971-1992,Annaud,Jean-Jaques,,,France,,
Anouilh,BW,,1947-1964,Anouilh,Jean,1910,,France,,
Antel,D,yAn,1988,Antel,gn,,,Austria,,
Anthony,DA,JAn,1956-1972,Deuster,Joseph,1912,,
Antonijevic,D,PAn,1998,Antonijevic,Peter,,,,,
Antonio,AD,LAn,1985,Antonio,Lou,*,,USA,,
Antonioni,D,MA,1950-1982,Antonioni,Michelangelo,1912,,Italy,,
Apostoloff,DP,StA,1965,Apostoloff,Stephen C.,,,,,
Apted,D,MAp,1964-1994,Apted,Michael,1941,,Great Britain,Ty(Docu),
Aragon,D,MGA,1982,Aragon,Manuel Guiterrez,,,Spain,,
Araki,DWCE,GrA,1988,Araki,Gregg,,,USA,,
Aranda,D,VAr,1992,Aranda,Vincente,,,Spain,,
Arau,D,AfA,1992,Arau,Alfonso,,,,,
Arcand,D,DeA,1989,Arcand,Denys,,,Canada,,
Archainbaud,D,GAr,1919-1953,Archainbaud,George,1890,1959,USA,Ty(West),
Ardolino,D,EAr,1987-1993,Ardolino,Emile,,,,,
Argento,DW,DaA,1970-1991,Argento,Dario,1943,,Italy,Ty(thrillers) InB(Hitchcock),
Argyle,DP,IAg,1931-1950,Argyle,John,1911,,Great Britain,,
Aristarain,D,AAt,1990,Aristarain,Adolfo,,,\Ur ugay,,
Aristov,D,ViA,1990,Aristov,Voktor,,,Russia,,
Arkush,D,AAR,1979-1981,Arkush,Allan,,,USA,,
Arkoff,P,,1953-1979,Arkoff,Samuel Z.,1919,,USA,Fd(AIP),
Arlen,D,MAr,1927-1928,Arlen,Michael,,,,Er(dow),
Arliss,WD,LAr,1942-1955,Arliss,Leslie,1901,,Great Britain,,
Armitage,D,GeA,1990-1997,Armitage,George,,,,,
Armstrong,D,GiA,1979-1994,Armstrong,Gillian,1952,,USA,Ge(F),
Arnold,D,JA,1953-1976,Arnold,Jack,1916,,USA,,
Aronofsky,D,DAr,1998,Aronofsky,Darren,,,,,
Arslan,D,YiA,1992,Arslan,Yilmar,,,,,
Arthur,D,KaA,1991,Arthur,Karen,,,USA,Ty(TV) Gd(F),
Robert~Arthur,P,,1968,Arthur,Robert T.,,,USA,,
Arzner,D,DAz,1927-1943,Arzner,Dorothy,1900,1979,USA,Gd(F),
Ascot,D,AnA,1980,Ascot,Anthony,,,USA,,
Ashby,DE,HAs,1970-1982,Ashby,Hal,1936,1988,USA,,
R.Asher,DWP,RAs,1959-1966,Asher,Robert,1915,,Great Britain,,
W.Asher,D,WAr,1948-1966,Asher,William,1919,,USA,Mt(Elizabeth Montgomery),
Ashton,GD,FAs,1971,Ashton,Sir Frederick,,,Great Britain,,
Asquith,D,AA,1928,Asquith,Anthony `Puffin',1902,1968,Great Britain,,
Assayas,D,OlA,1990-1997,Assayas,Oliver,,,France,,
Atkins,D,ThA,1934,Atkins,Thomas,,,USA,,
Attenborough,APD,RA,1942-1996,Attenborough,Sir Richard,1923,,Great Britain,,
Attias,D,DnA,1985,Attias,Daniel,,,,,
Audry,D,JqA,1948-1966,Audrey,Jaqueline,1908,1977,France,Gd(F),
