movie_id,prior_movie_id,fraction
AA13,LuB0,0.5
AA13,HH15,0.2
AAl20,VM9,0.8
AbF10,MiW22,0.8
AbF27,PK5,0.85
ABo10,CDM80,0.6
AC20,Z2110,0.9
ACy10,GC15,0.9
AdI15,RoA4,0.1
AdL20,StK6,0.8
AdL25,ClC18,0.9
ADv15,IMT10,0.7
ADv22,H50,0.85
ADT18,C91,0.8
ADx35,WA9,0.3
ADx39,JLo27,0.6
ADx45,JJA10,0.1
ADx45,ACv10,0.1
ADw40,MaN30,0.8
ADw45,RVL14,0.7
ADw75,CBa30,0.81
AEG25,CDM7,0.9
AEG70,AEG60,0.8
AG40,AG20,0.99
AG50,AG10,0.99
AgH15,FWx20,0.9
AgH19,WW64,0.8
AII1,GSy11,0.9
AHa10,PeG5,0.8
AK59,AC5,0.6
AKe5,PM12,0.2
AKe5,TGi28,0.2
AKe5,JaB2,0.2
AKe5,PWr12,0.2
AKe5,MBr19,0.2
AKj14,ACj120,0.8
AkK16,OW6,0.9
AkK20,StH5,0.3
AkK28,PeB6,0.3
AL13,C89,0.9
AL20,MC5,0.9
AL27,RWi1,0.6
AL27,C127,0.3
AlH38,LMC15,0.9
ALi15,AmH10,0.8
AM35,C127,0.5
AM36,AlH24,0.8
AMa29,WaF48,0.9
AMg10,FM3,0.5
AMi19,RCl10,0.9
AnL15,KgH15,0.3
AnL15,KgH10,0.3
AnM35,WR40,0.9
AnP8,H31,0.8
ATn12,WLa42,0.8
AnQ10,CDM68,0.95
APl10,JAn1,0.85
ARa10,NML26,0.9
ArH236,RdR70,0.9
ArL29,WaF10,0.8
ArL36,RuJ3,0.9
ArP5,JHL12,0.6
ARw12,FF6,0.9
ASa31,MaN40,0.9
ASa34,MaN30,0.9
AVo10,NoL20,0.9
AyM10,GeK5,0.9
AyM15,RM3,0.85
AyW11,ILa34,0.8
BaD28,OW7,0.3
BaD39,H56,0.7
BaL1,ChW3,0.8
BaP10,IH14,0.9
BB8,LuV20,0.5
BBe1,RdR10,0.5
BBz10,WD103,0.8
BCl1,NoL45,0.8
BCl4,H9,0.8
BDC8,RS2,0.5
BDn7,AdB21,0.95
BdP10,TFi20,0.6
BdP10,RW1,0.1
BdP10,WlD36,0.1
BdP10,H73,0.1
BdP10,ALe2,0.1
BdP11,H65,0.5
BdP14,H73,0.6
BdP17,H65,0.1
BdP17,H51,0.2
BdP21,SE4,0.3
BdP25,MP35,0.2
BdP25,H73,0.2
BdP25,TYg25,0.15
BdP26,RaW59,0.6
BdP30,JD17,0.8
BE7,HCs4,0.6
BE20,H52,0.3
BE34,RhS20,0.6
BE34,BF8,0.2
BE45,VM28,0.8
BF5,FF6,0.7
BF6,HCs4,0.4
BF6,BE7,0.3
BF8,RhS20,0.5
BF9,CBe10,0.9
BFo13,WlJ12,0.6
BiA10,LM32,0.8
BsK19,DWG52,0.5
BLw10,ChC30,0.8
BoS75,UbR10,0.8
BPr10,JuD16,0.8
BRf20,TG30,0.9
BSc28,InB27,0.3
BSc28,AdL10,0.2
BSe10,H50,0.8
BSi13,WiW20,0.9
BSp10,RoS92,0.9
BTh13,RiF25,0.9
BVi12,DWG27,0.5
BW4,HH12,0.1
BW8,W73,0.5
BW17,EG11,0.1
ByH8,VF36,0.9
C91,C87,0.6
C112,ADw17,0.9
C117,C113,0.8
C118,LMe10,0.7
C127,HAA10,0.3
C131,C127,0.4
C143,HH27,0.8
C146,FB27,0.8
C157,AC8,0.9
C165,FLl89,0.6
C171,RTh6,0.8
CAL50,RVL10,0.8
CaR5,OW1,0.3
CaR5,CBm10,0.5
CaR20,IH1,0.2
CaR20,ElN15,0.2
CaR20,HH28,0.2
CaR20,KV40,0.2
CaR31,H53,0.8
CaR35,AdL10,0.6
CaR35,PVh20,0.2
CaR35,Jas44,0.1
CBu8,H43,0.9
CBu10,H1,0.7
CBw29,MAr10,0.9
CC77,RC10,0.1
CC79,CC73,0.9
CCG15,RMq10,0.4
CCr12,BdP14,0.4
CD28,MP4,0.9
CDM32,CDM4,0.9
CDM55,CDM4,0.9
CDM80,CDM45,0.99
CDr10,JC1,0.3
CDr9,CDM22,0.8
CEa40,GSt17,0.7
CEa42,H52,0.8
CFr10,JC9,0.9
CGl50,ElR10,0.8
CGl90,NOx20,0.75
CGl115,ChV26,0.8
CH5,CDM59,0.7
CH5,GPa2.,0.2
CHa20,AdL10,0.3
ChG10,NJu9,0.9
ChJ20,MhR1,0.9
ChJ36,WlD20,0.9
ChS20,VM9,0.8
ChS24,GC30,0.6
ChV8,MPa3,0.9
ChV26,RaW20,0.7
ChV26,ChV20,0.2
