22,made_by,Famous,H1,Famous
48,made_by,B-S-F,H3,B-S-F
51,made_by,Gainsborough,H4,Gainsborough
24,made_by,UFA,H5,UFA
51,made_by,Gainsborough,H8,Gainsborough
51,made_by,Gainsborough,H11,Gainsborough
66,made_by,Lime Grove,H25,Lime Grove
59,made_by,Elstree,H32,Elstree
79,made_by,elznick,H33,elznick
10,made_by,Universal,H37,Universal
79,made_by,elznick,H42,elznick
79,made_by,elznick,H44,elznick
111,made_by,Transatlantic,H46,Transatlantic
30,made_by,SWarners,H50,SWarners
22,made_by,Paramount,H51,Paramount
22,made_by,Paramount,H52,Paramount
22,made_by,Paramount,H57,Paramount
30,made_by,SWarners,H61,SWarners
22,made_by,Paramount,H65,Paramount
10,made_by,Universal,H79,Universal
10,made_by,Universal,H80,Universal
10,made_by,Universal,H81,Universal
10,made_by,Universal,H82,Universal
80,made_by,SPinewood,H83,SPinewood
59,made_by,SElstree,H40,SElstree
59,made_by,SElstree,H41,SElstree
146,made_by,hamley,H55,hamley
146,made_by,hamley,H58,hamley
146,made_by,hamley,H59,hamley
146,made_by,hamley,H60,hamley
146,made_by,hamley,H63,hamley
146,made_by,hamley,H66,hamley
146,made_by,hamley,H67,hamley
146,made_by,hamley,H68,hamley
146,made_by,hamley,H70,hamley
146,made_by,hamley,H72,hamley
146,made_by,hamley,H74,hamley
146,made_by,hamley,H75,hamley
146,made_by,hamley,H76,hamley
146,made_by,hamley,H77,hamley
146,made_by,hamley,H78,hamley
1,made_by,SLumiere,ALu1,SLumiere
1,made_by,SLumiere,ALu2,SLumiere
1,made_by,SLumiere,ALu3,SLumiere
1,made_by,SLumiere,ALu4,SLumiere
1,made_by,SLumiere,ALu5,SLumiere
1,made_by,SLumiere,ALu6,SLumiere
1,made_by,SLumiere,ALu7,SLumiere
1,made_by,SLumiere,ALu30,SLumiere
7,made_by,SEdison,ESP10,SEdison
7,made_by,SEdison,ESP11,SEdison
7,made_by,SEdison,ESP12,SEdison
7,made_by,SEdison,ESP16,SEdison
7,made_by,SEdison,ESP17,SEdison
22,made_by,SFamous,ESP25,SFamous
22,made_by,SFamous,ESP26,SFamous
22,made_by,SFamous,ESP27,SFamous
22,made_by,SFamous,ESP30,SFamous
22,made_by,SFamous,ESP31,SFamous
22,made_by,SFamous,ESP32,SFamous
22,made_by,SFamous,ESP33,SFamous
22,made_by,SFamous,ESP34,SFamous
22,made_by,SFamous,ESP40,SFamous
39,made_by,SBiograph,WMc10,SBiograph
7,made_by,SEdison,ThE10,SEdison
8,made_by,SEssanay,GKS60,SEssanay
17,made_by,SAmbrosio,LMi23,SAmbrosio
17,made_by,SAmbrosio,LMi35,SAmbrosio
17,made_by,SAmbrosio,MCs2,SAmbrosio
21,made_by,SArtistica Gloria,MCs10,SArtistica Gloria
26,made_by,STriangle,ThI40,STriangle
22,made_by,Paramount,ADw27,Paramount
22,made_by,Paramount,AEG25,Paramount
30,made_by,SWarners,AEG39,SWarners
30,made_by,SWarners,AEG41,SWarners
10,made_by,Universal,LoW5,Universal
