William,Aames,,,1960,,USA,,0
William,Abbott,1939,1956,1895,1974,USA,,1
George,Abbott,1929,1958,1887,,USA,,3
John,Abbott,1937,,1905,Great Britain,,,4
Philip,Abbott,1957,1973,1923,,USA,,5
Walter,Abel,1935,1974,1898,1987,USA,,7
Joss,Ackland,1949,1979,1928,,Great Britain,,12
Dan,Ackroyd,1979,1990,,,USA,,13
Rodolfo,Acosta,1948,1967,1920,1974,Mexico,,16
Eddie,Acuff,1935,1947,1902,1956,USA,,17
Jean,Adair,1922,1947,1872,1956,USA,,18
Alfred,Adam,1935,,1909,1982,France,,19
Ronald,Adam,1938,,1896,1979,Great Britain,,20
Beverly,Adams,1963,1967,1945,,Canada,,22
Brooke,Adams,1977,1983,1949,,USA,,23
Catlin,Barab,,,1950,,USA,,24
Dorothy,Adams,1938,1976,1915,,USA,,25
Elizabeth Edith,Enke,1960,1979,1929,,USA,,26
Jane,Adams,1945,1949,1921,,USA,,27
Julia,Adams,1954,1966,1931,,Great Britain,,28
Betty May (Julia),Adams,1947,1981,1926,,USA,,29
Maude,Wikstrom,1952,1967,1950,,Sweden,,30
Nicholas,Adamschock,1952,1967,1931,1968,USA,,31
Robert,Adams,1935,1947,1906,,Guyana,,32
Tome,Adams,1963,1975,1938,,Great Britain,,34
Dawn,Addams,1951,,1930,1985,Great Britain,,35
Wesley,Addy, sinister,1951,,1912,1997,,36
Isabelle,Adjani,1971,1983,1955,,France,,37
Jay,Adler,1938,1965,1899,1978,USA,,38
Lutha,Adler,1937,1981,1903,1984,USA,,39
Jeanne,de la Fonte,1920,1930,1898,1933,France,,40
Mario,Adorf,1959,1981,1930,,Switzerland,,41
Max,Bor,1934,1971,1902,1973,Ireland,,42
John,Agar,1948,1976,1921,,USA,,43
Rati,Agnihotri,1985,,1960,,India,,44
Jenny,Agutter,1964,1981,1952,,Great Britain,,45
Brian,Aherne,1924,1967,1902,1986,Great Britain,,46
Philip,Ahn,1936,1975,1911,1978,USA,,47
Francoise Sorya,Dreyfus,1947,1983,1932,,France,,48
Richard,Ainley,1936,1949,1910,1967,Great Britain,,49
Muriel,Aked, gossip,1922,,1887,1955,,52
Claude,Akins, burly middle-aged hero,1953,,1918,1994,,53
Serap,Aksoy,1991,,,,Turkey,,54
Anna Maria,Alberghetti,1951,1960,1936,,Italy,,56
Han,Albers,1923,1960,1892,,Germany,,57
Eddie Albert,Heimberger,1938,1982,1908,,USA,,58
Edward,Albert,1965,1982,1951,,USA,,59
Frank,Albertson,1928,1963,1907,1981,USA,,62
Jack,Albertson,1947,1978,1907,1981,USA,,63
Mabel,Albertson, wise and witty grandma,1939,,1901,1982,,64
Hardy,Albrecht,1931,1957,1903,1971,USA,,65
Lola,Albright, tough-talking,1949,,1925,,,66
Alan,Alda,1979,1986,1936,,USA,,67
Alphonso,d'Abruzzo,1945,1976,1914,1986,,,68
John,Alderton,1964,1976,1940,,Great Britain,,70
Nicholas Benton,Alexander,1917,1957,1911,1969,USA,,72
Jane,Quigley,1970,1983,1939,,USA,,73
John,Alexander,1936,1960,1901,1982,USA,,74
Katherine,Alexander,1934,1949,1901,1981,USA,,75
Ross,Alexander,1932,1937,1907,1937,USA,,76
Terence,Alexander,1951,1979,1923,,Great Britain,,78
Cassius,Clay,1977,,1942,,USA,,80
Dorothy,Alison,1952,1972,1925,,Australia,,81
Elizabeth,Allan,1931,1958,1908,,Great Britain,,83
William,Alland,1941,1961,1916,,USA,,84
Chesney,Allen,1935,1944,1894,1982,Great Britain,,85
Elizabeth,Gillease,1960,1972,1934,,USA,,87
John F.,Sullivan,1935,1953,1894,1956,USA,,88
Gracie,Allen,1933,1944,1902,1964,USA,,89
Karen,Allen,1978,1982,1955,,USA,,90
Nancy,Allen,1973,1983,1954,,USA,,91
Patrick,Allen,1955,1982,1927,,Great Britain,,92
Steve,Allen,1949,1989,1921,,USA,,94
Allen Stewart,Konigsberg,1969,1991,1935,,USA,,95
Kirstie,Alley,1982,1990,,,USA,,97
Sara,Allgood,1918,1950,1883,1950,Ireland,,98
Claud,Palmer,1929,1953,1891,1970,Great Britain,,99
Astrid,Allwyn,1932,1943,1909,1978,Sweden,,100
Ella,Geisman,1943,1978,1917,,USA,,101
Pedro,Almodovar,1980,1994,1951,,Spain,,102
Kirk,Alyn,1942,1950,1910,,USA,,105
Dominic Felix,Amici,1936,1983,1908,1993,USA,,108
Leon,Wycoff, suave professional man,1932,,1903,1993,,110
Ramsay,Philips,1944,1963,1919,,USA,,111
Suzy,Amis,1993,,1962,,USA,,112
Glenn,Anders,1930,1951,1889,1981,USA,,116
Luana,Anders,1958,1982,1949,,USA,,117
Merry,Anders,1952,1958,1932,,USA,,118
Eddie,Anderson,1930,1965,1905,1977,USA,,122
Max,Aronson,1903,1965,1882,1971,USA,,123
Harriet,Anderson,1955,,,,Sweden,,124
Herbert,Anderson,194,1969,1917,,USA,,125
Jean,Anderson, tired mother, spinster aunt,1979,,1908,,127
John,Anderson, thin, pale-eyed,1978,,1922,,128
Dame Frances Margaret,Anderson,1933,1984,1898,1992,Australia,,129
Lindsay,Anderson,1953,1987,1923,1994,Great Britain,Also(critic),130
Loni,Anderson,1977,,1947,,USA,,131
Mary,Anderson,1939,1953,1920,,USA,,132
Michael,Anderson,1950,1982,1920,,Great Britain,,134
Richard,Anderson,1951,1978,1926,,USA,,135
