0,Skladanowsky,studio,,Skladanowsky,M. and E. Skladanowsky,Wintergarten Berlin,Germany,1895,,M. and E. Skladanowsky,
1,Lumiere,studio,,Lumiere,Lumiere Fr.,Grand Cafe Paris,France,1895,,,
2,Latham,studio,,Latham,O.G.,W.Latham,New York,,1895,,
3,Dickson,studio,,Dickson,W.Dickson,New York,USA,1895,,,
4,Pathe,studio,,Pathe,Pathe Cinema SA,Paris,France,1902,1946,,
5,Cines,studio,,Cines,,Rome,Italy,1906,1921,,
6,Vitascope,studio,,Vitascope,,,USA,1908,,,
7,Edison,studio,,Edison,Edison Company,New York,USA,1904,,Thomas Edison,
8,Essanay,studio,,Essanay,George K.Spoor,Chicago,USA,1907,,G.M.Anderson actor,
9,MPP,studio,,MPP,Motion Picture Patents Co.,Los Angeles,USA,1909,1915,Edison, Biograph
10,IMP,studio,,IMP,Independent Motion Picture Co.,New York,USA,1909,1912,Carl Laemmle,Universal
11,IMP 2,studio,,IMP 2,Independent Motion Picture Co.,,Cuba,,,,
12,AFM,studio,,AFM,American Film Manufacturing,,CA,1910,,Alan Dwan,
13,Ebony,studio,,Ebony,Ebony Motion Picture Co.,Chicago,USA,,,,
14,General Film,studio,,General Film,MPP,,,1910,,,
15,Great Northern,studio,,Great Northern,Nordisk Films Company,,Denmark,1911,1915,,
16,Chrystal,studio,,Chrystal,,Bronx,NY,1912,,,
17,Ambrosio,studio,,Ambrosio,Societa Anonima Ambrosio,Turin,Italy,1912,1917,Arturo Ambrosio,
18,Eclair,studio,,Eclair,,,France,1912,,,
19,Eclair 2,studio,,Eclair 2,Eclair,Ft.Lee NJ,USA,1912,,Eclair,
20,MPSA,studio,,MPSA,Motion Pictures Sales Agency Ltd,London,England,1913,,,
21,Artistica Gloria,studio,,Artistica Gloria,,Turin,Italy,1913,,,
22,Famous,studio,,Famous,Famous Players,New York,USA,1913,1918,Adolph Zukor,Paramount
23,New York,studio,,New York,New York Motion Pictures Company,New York,USA,1914,,,
24,Union,studio,,Union,Union Film Produktion,Berlin,Germany,1914,1917,,UFA
25,World,studio,,World,World Film Corp.,,USA,1915,,,
26,Triangle,studio,,Triangle,Triangle,New York,USA,1915,1917,Harry Aitkins, Griffith
27,Feature Play,studio,,Feature Play,Jesse L.~Lasky Feature Play Company,New York,USA,1913,1916,Lasky, DeMille
28,Paramount,studio,,Paramount,Paramount Corp.,Los Angeles,USA,1916,1993,William Wadworth Hodkinson,Paramount
29,Pickford,studio,,Pickford,Pickford Film Corp.,,USA,1917,1920,Mary Pickford,
30,First National,studio,,First National,First National,,USA,1917,1920,J.D. Williams,Warners
31,Chaplin,studio,,Chaplin,Chaplin Studios,Los Angeles,USA,1918,1919,Chaplin,
32,Standard,studio,,Standard,Standard Film Corp,,USA,1919,,,
33,FPL,studio,,FPL,Famous Players Lasky,Los Angeles,USA,1918,1920,,bought by Paramount
34,PFL,studio,,PFL,Paramount Famous Lasky,Los Angeles,USA,1928,1994,,
35,UFA,studio,,UFA,Universum Film AG,Neubabelsberg,Germany,1917,1933,,
36,U.A.,studio,,U.A.,United Artists,Hollywood,USA,1919,1983,Chaplin, Pickford
37,Cineromans,studio,,Cineromans,Cineromans,Nice,France,1919,1922,Gaston Leroux, Rene Navarre
